OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0036,Field Msr/Obs,Water,,2011-07-12,16:45:00,AKDT,,,,19,cm,,,,,,ACP Wetlands 2011,Alaska Monitoring and Assessment Program (AKMAP);Alaska Department of Environmental Conservation,AKDECAKMAP-NWCA11-AK-0036,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,7.12,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0045,Field Msr/Obs,Water,,2011-07-06,23:35:00,AKDT,,,,30,cm,,,,,,ACP Wetlands 2011-Targeted,Alaska Monitoring and Assessment Program (AKMAP);Alaska Department of Environmental Conservation,AKDECAKMAP-NWCA11-AK-0045,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,7.74,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0032,Field Msr/Obs,Water,,2011-07-12,12:41:00,AKDT,,,,19,cm,,,,,,ACP Wetlands 2011,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0032,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,7.08,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0020,Field Msr/Obs,Water,,2011-07-21,23:00:00,AKDT,,,,32,cm,,,,,,ACP Wetlands 2011,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0020,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.95,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0008,Field Msr/Obs,Water,,2011-07-10,23:55:00,AKDT,,,,21,cm,,,,,,ACP Wetlands 2011,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0008,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.12,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0026,Field Msr/Obs,Water,,2011-07-22,15:30:00,AKDT,,,,50,cm,,,,,,ACP Wetlands 2011,Alaska Monitoring and Assessment Program (AKMAP);Alaska Department of Environmental Conservation,AKDECAKMAP-NWCA11-AK-0026,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,8.61,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0004,Field Msr/Obs,Water,,2011-07-18,16:04:00,AKDT,,,,27,cm,,,,,,ACP Wetlands 2011,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0004,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,8.06,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0034,Field Msr/Obs,Water,,2011-07-18,17:46:00,AKDT,,,,29,cm,,,,,,ACP Wetlands 2011,Alaska Monitoring and Assessment Program (AKMAP);Alaska Department of Environmental Conservation,AKDECAKMAP-NWCA11-AK-0034,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,7.84,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0021,Field Msr/Obs,Water,,2011-07-20,14:00:00,AKDT,,,,17,cm,,,,,,ACP Wetlands 2011,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0021,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,5.35,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
AKDECAKMAP,Alaska Monitoring and Assessment Program,AKDECAKMAP-WQField-NWCA11-AK-0033,Field Msr/Obs,Water,,2011-07-28,14:28:00,AKDT,,,,10,cm,,,,,,ACP Wetlands 2011,Alaska Department of Environmental Conservation;Alaska Monitoring and Assessment Program (AKMAP),AKDECAKMAP-NWCA11-AK-0033,,,,,AKMAP 015,AKDECAKMAP,YSI 556 MPS,Probe/Sensor,,pH,,6.69,None,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,,,,,STORET
