OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100633,Sample-Routine,Water,Surface Water,1971-09-09,13:50:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.1,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100621,Sample-Routine,Water,Surface Water,1971-08-13,12:00:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.6,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200712,Sample-Routine,Water,Surface Water,1972-07-10,14:10:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100631,Sample-Routine,Water,Surface Water,1971-08-12,14:30:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100622,Sample-Routine,Water,Surface Water,1971-09-15,11:00:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200738,Sample-Routine,Water,Surface Water,1972-08-30,16:00:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.8,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97000636,Sample-Routine,Water,Surface Water,1970-09-05,16:00:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.5,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200742,Sample-Routine,Water,Surface Water,1972-03-17,10:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.0,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200714,Sample-Routine,Water,Surface Water,1972-08-29,16:00:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.1,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200747,Sample-Routine,Water,Surface Water,1971-10-15,20:30:00,AKDT,,,,,,,,,,,,,USGS-15910200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200725,Sample-Routine,Water,Surface Water,1971-10-15,15:20:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97400197,Sample-Routine,Water,Surface Water,1974-07-17,14:30:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.7,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200718,Sample-Routine,Water,Surface Water,1971-10-15,16:15:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.6,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200748,Sample-Routine,Water,Surface Water,1972-06-21,17:10:00,AKDT,,,,,,,,,,,,,USGS-15910200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.0,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100623,Sample-Routine,Water,Surface Water,1970-11-15,13:30:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.1,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97300278,Sample-Routine,Water,Surface Water,1972-11-28,11:45:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100616,Sample-Routine,Water,Surface Water,1971-06-03,13:30:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.7,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97400202,Sample-Routine,Water,Surface Water,1974-09-26,15:00:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200716,Sample-Routine,Water,Surface Water,1972-08-29,19:00:00,AKDT,,,,,,,,,,,,,USGS-15799000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200724,Sample-Routine,Water,Surface Water,1972-08-11,13:30:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97000639,Sample-Routine,Water,Surface Water,1970-09-05,09:20:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200741,Sample-Routine,Water,Surface Water,1971-10-16,08:40:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97201120,Sample-Routine,Water,Surface Water,1972-07-12,13:35:00,AKDT,,,,,,,,,,,,,USGS-692730146094501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97000638,Sample-Routine,Water,Surface Water,1970-06-09,17:30:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100627,Sample-Routine,Water,Surface Water,1971-06-05,17:30:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.8,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100626,Sample-Routine,Water,Surface Water,1971-06-05,17:10:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.5,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200753,Sample-Routine,Water,Surface Water,1972-09-08,22:00:00,AKDT,,,,,,,,,,,,,USGS-15910200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.0,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97201118,Sample-Routine,Water,Surface Water,1972-07-12,09:30:00,AKDT,,,,,,,,,,,,,USGS-691535147225001,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97201119,Sample-Routine,Water,Surface Water,1972-07-12,08:45:00,AKDT,,,,,,,,,,,,,USGS-691600147202501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97400203,Sample-Routine,Water,Surface Water,1974-07-17,07:50:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.8,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97000911,Sample-Routine,Water,Surface Water,1970-09-06,15:30:00,AKDT,,,,,,,,,,,,,USGS-701642148144400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200736,Sample-Routine,Water,Surface Water,1972-07-11,17:35:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97000640,Sample-Routine,Water,Surface Water,1970-08-14,17:30:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.1,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200717,Sample-Routine,Water,Surface Water,1972-07-10,19:40:00,AKDT,,,,,,,,,,,,,USGS-15799300,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.6,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100624,Sample-Routine,Water,Surface Water,1971-03-17,,,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97400774,Sample-Routine,Water,Surface Water,1974-07-18,09:00:00,AKDT,,,,,,,,,,,,,USGS-701553148380400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200743,Sample-Routine,Water,Surface Water,1972-03-17,11:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.0,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97000912,Sample-Routine,Water,Surface Water,1970-06-12,10:00:00,AKDT,,,,2,feet,,,,,,,,USGS-701746148424500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97000641,Sample-Routine,Water,Surface Water,1970-09-03,10:30:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.0,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100609,Sample-Routine,Water,Surface Water,1971-04-03,16:00:00,AKST,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.8,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200746,Sample-Routine,Water,Surface Water,1972-08-30,11:30:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100615,Sample-Routine,Water,Surface Water,1971-09-15,13:20:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97201117,Sample-Routine,Water,Surface Water,1972-07-11,16:00:00,AKDT,,,,,,,,,,,,,USGS-690150147430001,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97000637,Sample-Routine,Water,Surface Water,1970-06-05,11:15:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.5,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100620,Sample-Routine,Water,Surface Water,1971-06-23,13:00:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.7,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97400207,Sample-Routine,Water,Surface Water,1974-08-07,12:20:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100614,Sample-Routine,Water,Surface Water,1971-08-13,14:30:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.1,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100613,Sample-Routine,Water,Surface Water,1971-06-24,15:00:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.5,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97300275,Sample-Routine,Water,Surface Water,1973-06-13,16:30:00,AKDT,,,,,,,,,,,,,USGS-15799000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.1,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97100630,Sample-Routine,Water,Surface Water,1971-08-12,14:00:00,AKDT,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.1,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97300597,Sample-Routine,Water,Surface Water,1973-05-10,,,,,,,,,,,,,,,USGS-692730146094501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.0,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95100398,Sample-Routine,Water,Surface Water,1951-06-30,,,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.8,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300686,Sample-Routine,Water,Surface Water,1952-11-22,14:30:00,AKST,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300537,Sample-Routine,Water,Surface Water,1953-07-28,15:30:00,AKST,,,,,,,,,,,,,USGS-15875000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.8,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95300687,Sample-Routine,Water,Surface Water,1952-11-22,,,,,,,,,,,,,,,USGS-711945156390000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.95100399,Sample-Routine,Water,Surface Water,1951-07-13,,,,,,,,,,,,,,,USGS-711345156380000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500314,Sample-Routine,Water,Surface Water,1975-06-22,10:15:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.5,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500965,Sample-Routine,Water,Surface Water,1975-08-13,09:00:00,AKDT,,,,,,,,,,,,,USGS-700507147163000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.6,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500941,Sample-Routine,Water,Surface Water,1975-04-27,10:50:00,AKDT,,,,,,,,,,,,,USGS-693044141113701,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500326,Sample-Routine,Water,Surface Water,1975-07-09,13:00:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.8,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97600299,Sample-Routine,Water,Surface Water,1975-12-03,12:00:00,AKST,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.7,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500323,Sample-Routine,Water,Surface Water,1975-04-29,11:30:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.5,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500957,Sample-Routine,Water,Surface Water,1975-08-07,09:30:00,AKDT,,,,,,,,,,,,,USGS-694147144121000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.5,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500945,Sample-Routine,Water,Surface Water,1975-04-27,10:00:00,AKDT,,,,,,,,,,,,,USGS-693236141493801,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500315,Sample-Routine,Water,Surface Water,1975-06-23,15:15:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500318,Sample-Routine,Water,Surface Water,1975-06-25,10:00:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500940,Sample-Routine,Water,Surface Water,1975-04-28,14:00:00,AKDT,,,,,,,,,,,,,USGS-692730146094501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.9,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500304,Sample-Routine,Water,Surface Water,1975-06-16,21:00:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500308,Sample-Routine,Water,Surface Water,1975-06-18,15:30:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.3,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500956,Sample-Routine,Water,Surface Water,1975-04-28,11:15:00,AKDT,,,,,,,,,,,,,USGS-694142145063301,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500944,Sample-Routine,Water,Surface Water,1975-08-11,12:00:00,AKDT,,,,,,,,,,,,,USGS-693205142410500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.5,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500324,Sample-Routine,Water,Surface Water,1975-06-09,12:00:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500310,Sample-Routine,Water,Surface Water,1975-06-19,10:45:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500307,Sample-Routine,Water,Surface Water,1975-06-18,11:00:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.5,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500952,Sample-Routine,Water,Surface Water,1975-08-12,13:45:00,AKDT,,,,,,,,,,,,,USGS-693737146013801,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500316,Sample-Routine,Water,Surface Water,1975-06-23,20:15:00,AKDT,,,,,,,,,,,,,USGS-15798700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,6.4,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
