OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-700137145312600,UNNAMED LK NR CANNING R DELTA NR KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060501,,,,,70.02673480000000,-145.5267313000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700210143134000,UNNAMED LK AT JAGO R NR KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060502,,,,,70.03594580000000,-143.2305374000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700313143435100,UNNAMED LK 25 NR KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060502,,,,,70.05343830000000,-143.7336109000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700438145423500,CANNING R DELTA E CHANNEL NR KAKTOVIK AK,Stream,,19060501,,,,,70.07701219000000,-145.7125840000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700450143100000,UNNAMED LK NR JAGO R NR KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060503,,,,,70.08039239000000,-143.1694293000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700646152112000,UNNAMED C 29 MI WSW OF NUIQSUT AK,Stream,,,,,,,70.11276110000000,-152.1888528000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700717143383401,NAVARAKPUK LAKE 0.5 MI W OF KAKTOVIK AK,"Lake, Reservoir, Impoundment",,19060502,,,,,70.12143610000000,-143.6427778000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,39,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-700825152071300,UNNAMED C 27 MI WSW OF NUIQSUT AK,Stream,,,,,,,70.14040560000000,-152.1203110000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,64,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701008151561200,UNNAMED C 22 MI W OF NUIQSUT AK,Stream,,,,,,,70.16888889000000,-151.9366000000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,51,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701248151121000,BILLS C NR LAKE OUTLET NR NUIQSUT AK,Stream,,19060205,,,,,70.21333330000000,-151.2027778000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,75,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701259151583700,UNNAMED C 23 MI W OF NUIQSUT AK,Stream,,,,,,,70.21630560000000,-151.9768139000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,33,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701409151162900,BILLS C NR NUIQSUT AK,Stream,,19060205,,,,,70.23583330000000,-151.2747222000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,50,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701641151284400,BLACKFISH C NR NUIQSUT AK,Stream,,19060205,,,,,70.27805560000000,-151.4788889000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,25,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701642148144400,W CHAN SAGAVANIRKTOK R NR DEADHORSE AK,Stream,,19060402,,,,,70.27806940000000,-148.2485824000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701720151184500,CREA C NR  NUIQSUT AK,Stream,,19060205,,,,,70.28888889000000,-151.3125000000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701808151165100,OIL C NR NUIQSUT AK,Stream,,19060205,,,,,70.30222220000000,-151.2808333000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-701812151404600,BEAR TRIO C NR NUIQSUT AK,Stream,,19060205,,,,,70.30333330000000,-151.6794444000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704027152471000,WEST LONG LK 1.5 MI SW OF VABM HARRY NR LONELY AK,"Lake, Reservoir, Impoundment",,19060205,,,,,70.67380048000000,-152.7893756000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704152152391400,UNNAMED LAKE 4 MI W OF VABM JOHN NR LONELY AK,"Lake, Reservoir, Impoundment",,19060205,,,,,70.69741528000000,-152.6571545000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
