OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-690150147430001,UD00501812AAAA1S,Spring,,19060402,,,,,69.03023120000000,-147.7194506000000,63360,10,seconds,Interpolated from MAP.,NAD83,1200.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-690516154390600,UNNAMED LK W OF KAKVUIYAT BEND NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060302,,,,,69.08733828000000,-154.6546812000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-690530154390600,UNNAMED LK NW OF KAKVUIYAT BEND NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060302,,,,,69.09122730000000,-154.6546819000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691535147225001,UD00202019ABDA1S,Spring,,19060402,,,,,69.25941800000000,-147.3833514000000,63360,10,seconds,Interpolated from MAP.,NAD83,1300.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691600147202501,UD00202017DACB1S,Spring,,19060402,,,,,69.26636388000000,-147.3430735000000,63360,Unknown,Unknown,Interpolated from MAP.,NAD83,1250.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691740150115000,UNNAMED LK AT E KUPARUK RIG NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060401,,,,,69.29408029000000,-150.2001196000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691830150172000,KUPARUK R NR UMIAT AK,Stream,,19060401,,,,,69.30796947000000,-150.2917868000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692200148433000,SAGAVANIRKTOK R AT SAGWON AK,Stream,,19060402,,,,,69.36633398000000,-148.7278762000000,63360,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692730146094501,UA00102411    1S,Spring,,19060501,,,,,69.45807070000000,-146.1652914000000,250000,10,seconds,Interpolated from MAP.,NAD83,1400.00,feet,200,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693523142580300,AICHILIK R SITE 1 NR KAKTOVIK AK,Stream,,19060504,,,,,69.58954910000000,-142.9702107000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693600151100000,VABM BOWL LK NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060304,,,,,69.59964180000000,-151.1696213000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
