OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200742,Sample-Routine,Water,Surface Water,1972-03-17,10:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.00,mg/l NH4,,Historical,,Actual,,,,,,,71846,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200748,Sample-Routine,Water,Surface Water,1972-06-21,17:10:00,AKDT,,,,,,,,,,,,,USGS-15910200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.000,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200748,Sample-Routine,Water,Surface Water,1972-06-21,17:10:00,AKDT,,,,,,,,,,,,,USGS-15910200,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.000,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200743,Sample-Routine,Water,Surface Water,1972-03-17,11:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.000,mg/l as N,,Historical,,Actual,,,,,,,00608,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200743,Sample-Routine,Water,Surface Water,1972-03-17,11:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.040,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200743,Sample-Routine,Water,Surface Water,1972-03-17,11:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.052,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97200743,Sample-Routine,Water,Surface Water,1972-03-17,11:00:00,AKST,,,,,,,,,,,,,USGS-15910000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.00,mg/l NH4,,Historical,,Actual,,,,,,,71846,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500335,Sample-Routine,Water,Surface Water,1975-09-20,08:00:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Ammonia and ammonium,Total,,,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,Historical Lower Reporting Limit,0.010,mg/l as N,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500335,Sample-Routine,Water,Surface Water,1975-09-20,08:00:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Ammonia and ammonium,Total,,,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,Historical Lower Reporting Limit,0.013,mg/l NH4,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500334,Sample-Routine,Water,Surface Water,1975-08-13,16:00:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Ammonia and ammonium,Dissolved,,,,Historical,,Actual,,,,,,,00608,,,,,,,,,,,,,Historical Lower Reporting Limit,0.010,mg/l as N,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97500334,Sample-Routine,Water,Surface Water,1975-08-13,16:00:00,AKDT,,,,,,,,,,,,,USGS-15896700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.00,mg/l NH4,,Historical,,Actual,,,,,,,71846,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800580,Sample-Routine,Water,Surface Water,1977-11-17,13:00:00,AKST,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.040,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800580,Sample-Routine,Water,Surface Water,1977-11-17,13:00:00,AKST,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.052,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
