tracer,j,i,dJ_darwin,dJ_dic,asym_rel,model0,obs_pco2
DIC,4,109,-956.1575937065306,-892.4969800404784,0.2586676151176019,0.0002532072248868644,0.00040177796936035156
DIC,6,63,-412.00398293962473,-428.6695325174757,4.007695556380518,0.00030618486925959587,0.00036472048164480376
DIC,6,74,-243.20072910898855,-301.64128789349206,7.008450012166991,0.00029673485551029444,0.0003311780194102093
DIC,6,87,-178.72042733793043,-215.37422702614452,2.7734830720034434,0.0002975716779474169,0.0003204178187502488
DIC,6,97,97.63525261821292,-30.43154669636962,1.4454773631545448,0.00030031727510504425,0.0002883125338164899
DIC,7,10,592.4167388430255,591.5167057785548,0.9979445881217418,0.00030381596297957003,0.00024051820383788012
DIC,9,120,-374.25913583096525,-347.34735079871035,4.524686893752327,0.0002833450853358954,0.0003378032382808605
DIC,10,25,-96.35591981116146,112.47642399252727,3.137223197810721,0.00032398971961811185,0.0003356227809323486
DIC,10,35,-90.5680265294156,174.12034729027195,2.733895866242368,0.000332867493852973,0.0003443587313501019
DIC,13,53,-212.16154189019673,-148.49159374889285,0.49040651430269555,0.0002993889502249658,0.00036413286572456536
DIC,17,12,-231.29518299253274,-229.5677036916233,0.1778432369207357,0.0002628921065479517,0.0003497863656857397
DIC,17,63,-387.29845483063787,-311.40492016317563,0.7825675665300447,0.0002939020923804492,0.0003664801290993898
DIC,19,1,-281.1530081455019,-246.83795798833538,1.3474074135884013,0.0003032826352864504,0.0003554803670247396
DIC,19,101,-1065.6599192121105,-1056.8136786181842,0.11303017996476551,0.0002934215881396085,0.00048292603363204306
DIC,20,23,-177.14146463219987,-190.79513689140578,6.918240107201961,0.0003550185065250844,0.0003787671202601883
DIC,24,37,-193.2042698727818,-202.04081040570995,4.235368924040374,0.0003161148342769593,0.00034977307128906244
DIC,25,73,-210.15316752312617,-196.0680196701734,4.831539873678356,0.00031436499557457864,0.00034954657030282434
DIC,25,91,-210.0454597871808,-166.03897658641372,4.890161682950624,0.00034605362452566624,0.0003817779936949807
DIC,25,119,-340.97751543054477,-409.41375140380836,1.6763396986867716,0.00035668438067659736,0.0004128518385190636
DIC,27,55,680.9653499136153,1054.4547455632862,1.3066528993084774,0.0004401864716783166,0.0004035625684554544
DIC,30,14,-170.24456393302768,-180.13883411049798,36.75349146054446,0.00035039670183323324,0.0003761978352864583
DIC,30,25,10.978766812860512,31.768310385760103,5.687736238576289,0.0003539259487297386,0.00035131582014072963
DIC,34,109,-569.60250387283,-579.721211863315,1.8172277774667598,0.00035873017623089254,0.00040860665529411346
DIC,38,77,-95.4369543265848,-83.73318966579251,42.062571527666684,0.0003288451407570392,0.00034725264936587806
DIC,38,121,-253.18974370159768,-237.32921906600382,2.1653831302867004,0.00032095907954499125,0.0003657535854921646
DIC,39,46,30.656279844386894,43.69808078710705,2.0893758832285014,0.0003191180294379592,0.0003126033668146856
DIC,39,67,-349.57877868291445,-346.07562893443446,1.090531371730967,0.0003037040587514639,0.00036533403737040645
DIC,39,89,658.645142580071,869.4885266572082,1.0437631033465318,0.0004359783779364079,0.0003700523545891922
DIC,40,22,-257.68349115255944,-131.14814285260255,21.59162972004986,0.000358377059455961,0.00039223416137695313
DIC,41,56,-208.0762512194792,-205.08178385120615,1.8722597936842922,0.00029471691232174635,0.00033595784695910334
DIC,44,101,-659.7066971537927,-942.9708691873745,0.35795998643736887,0.0002564363821875304,0.0003478350864507051
DIC,44,111,-173.33250260768503,-207.76024423195165,1.1039239493607997,0.00029531086329370737,0.00033856074031347595
DIC,48,121,-283.8418250997199,-398.71693154289824,0.6252819115996482,0.00029952972545288503,0.0003665215922494349
DIC,50,80,-478.3807807247611,-553.3350806764888,0.7311568549094283,0.0002994597889482975,0.00038099718108704233
DIC,51,66,-841.5658185096423,-991.1691727281377,0.3057560240682101,0.000280992710031569,0.00041820622777147845
DIC,54,108,-9542.919088968965,-9774.64739117256,0.0414744365096825,0.00018131578690372407,0.00033237413024902345
DIC,55,3,-707.8686785631533,-921.1469577561468,0.34469457502312956,0.00025473031564615667,0.00037656227001171475
DIC,40,97,22737.11387294839,26866.535109178087,0.7648710700929389,0.0005122249713167548,0.00037598521781298175
ALK,4,109,863.125049564744,789.8302555643268,0.21552457670495886,0.0002532072248868644,0.00040177796936035156
ALK,6,63,370.4841081105542,385.7713187934366,3.6147279139434825,0.00030618486925959587,0.00036472048164480376
ALK,6,74,220.0846779734656,270.9714465597927,6.236322991491741,0.00029673485551029444,0.0003311780194102093
ALK,6,87,163.41029506798372,193.05278587797227,2.5041795780814287,0.0002975716779474169,0.0003204178187502488
ALK,6,97,-89.52715326572167,27.341685604545418,1.374195194345933,0.00030031727510504425,0.0002883125338164899
ALK,7,10,-537.5072226842182,-531.2793569954646,0.9822766925792085,0.00030381596297957003,0.00024051820383788012
ALK,9,120,339.23593600875336,310.26443427767185,5.5832923592629475,0.0002833450853358954,0.0003378032382808605
ALK,10,25,85.73865682828429,-100.9612005476065,3.154090174357084,0.00032398971961811185,0.0003356227809323486
ALK,10,35,82.44435807251043,-157.07898773738245,2.3837962557581105,0.000332867493852973,0.0003443587313501019
ALK,13,53,178.36768243247582,128.97554175467334,0.42510797795831085,0.0002993889502249658,0.00036413286572456536
ALK,17,12,182.0544542040875,188.43594488627343,0.1739523386968533,0.0002628921065479517,0.0003497863656857397
ALK,17,63,315.9371117953493,258.6029648293169,0.6963015159517708,0.0002939020923804492,0.0003664801290993898
ALK,19,1,234.03171667025646,203.12365396904588,1.3649142281589137,0.0003032826352864504,0.0003554803670247396
ALK,19,101,860.486550999881,887.1690271785375,0.047453837729210066,0.0002934215881396085,0.00048292603363204306
ALK,20,23,148.23052446674853,157.38808800045985,5.52920483684259,0.0003550185065250844,0.0003787671202601883
ALK,24,37,154.02997825166216,161.182105990815,3.712138256428155,0.0003161148342769593,0.00034977307128906244
ALK,25,73,164.2974605780891,153.59600350518787,4.014690737360222,0.00031436499557457864,0.00034954657030282434
ALK,25,91,167.63868163617008,133.83810925542795,3.0889296984811234,0.00034605362452566624,0.0003817779936949807
ALK,25,119,272.90040868437114,325.27132541931263,1.4433787482911586,0.00035668438067659736,0.0004128518385190636
ALK,27,55,-561.0015534742458,-861.7379735094155,1.2329539743170814,0.0004401864716783166,0.0004035625684554544
ALK,30,14,134.09603749806558,143.2289826627547,31.315073167374933,0.00035039670183323324,0.0003761978352864583
ALK,30,25,-8.761337984347083,-25.2613700543038,2.1748941296524045,0.0003539259487297386,0.00035131582014072963
ALK,34,109,426.94137840597057,463.2702901987603,1.2883997443032884,0.00035873017623089254,0.00040860665529411346
ALK,38,77,75.36727135375861,67.67668690755826,9.155536358767272,0.0003288451407570392,0.00034725264936587806
ALK,38,121,201.5216520562293,194.00798423911917,1.7205485803751424,0.00032095907954499125,0.0003657535854921646
ALK,39,46,-24.54716508872543,-34.85018502077301,2.1220230618868885,0.0003191180294379592,0.0003126033668146856
ALK,39,67,277.46950374619655,274.5613772387767,0.9725198968410419,0.0003037040587514639,0.00036533403737040645
ALK,39,89,-556.3508707597406,-726.8849778638213,1.0000061478322693,0.0004359783779364079,0.0003700523545891922
ALK,40,22,208.0754112682164,105.85611093263226,20.774324514666386,0.000358377059455961,0.00039223416137695313
ALK,41,56,165.98115110087616,163.97973526941152,1.560511781023531,0.00029471691232174635,0.00033595784695910334
ALK,44,101,519.2437270644701,755.4821297316809,0.29748879281411666,0.0002564363821875304,0.0003478350864507051
ALK,44,111,136.76986686478207,167.65726018100398,0.9285939996802962,0.00029531086329370737,0.00033856074031347595
ALK,48,121,238.19498150979885,332.8662667396058,0.5789245906993433,0.00029952972545288503,0.0003665215922494349
ALK,50,80,407.05484466642235,476.21583389482606,0.6572961538412352,0.0002994597889482975,0.00038099718108704233
ALK,51,66,737.473135215856,869.5963190080965,0.25984717555132775,0.000280992710031569,0.00041820622777147845
ALK,54,108,8344.924389188853,8334.376407581853,0.013298688083840556,0.00018131578690372407,0.00033237413024902345
ALK,55,3,612.2403307328927,782.7752772727147,0.3007197368796176,0.00025473031564615667,0.00037656227001171475
ALK,40,97,-18623.448828909597,-22597.95911885515,0.7253464733555364,0.0005122249713167548,0.00037598521781298175
PO4,4,109,-810.6803626503697,-396.23807978420217,0.0013037527637166115,0.0002532072248868644,0.00040177796936035156
PO4,6,63,-364.07193115060977,-20.557358183714793,0.01938016118886549,0.00030618486925959587,0.00036472048164480376
PO4,6,74,-204.75373591663637,-21.055264240941973,0.0020597361886926136,0.00029673485551029444,0.0003311780194102093
PO4,6,87,-153.09777248831696,-83.09059763298345,0.0024785547297328375,0.0002975716779474169,0.0003204178187502488
PO4,6,97,83.32818370992352,-16.242506687936874,0.009311019789037516,0.00030031727510504425,0.0002883125338164899
PO4,7,10,493.02088993850634,229.56287652519694,0.003523552973624802,0.00030381596297957003,0.00024051820383788012
PO4,9,120,-328.50219806683504,4.608765621933755,0.017249165437069117,0.0002833450853358954,0.0003378032382808605
PO4,10,25,-88.4200907636777,-4.378987858146393,0.0007697668002626254,0.00032398971961811185,0.0003356227809323486
PO4,10,35,-83.87491530699586,-0.9326800474100101,0.04446674340861151,0.000332867493852973,0.0003443587313501019
PO4,13,53,-233.0746803580739,117.65712549565488,0.01532427127791981,0.0002993889502249658,0.00036413286572456536
PO4,17,12,-207.81168053544621,2038.1042353014122,0.005910821325179308,0.0002628921065479517,0.0003497863656857397
PO4,17,63,-346.20634119481406,2516.037481697726,0.001536698958885667,0.0002939020923804492,0.0003664801290993898
PO4,19,1,-275.88220586477155,1748.2689033343938,0.007272312479713929,0.0003032826352864504,0.0003554803670247396
PO4,19,101,-950.841013932458,3738.5596835502524,6.242970762086015e-05,0.0002934215881396085,0.00048292603363204306
PO4,20,23,-160.1172954298374,1909.6421592480426,0.007269393870157587,0.0003550185065250844,0.0003787671202601883
PO4,24,37,-122.28524230389057,2527.4844354862034,0.031537915601791054,0.0003161148342769593,0.00034977307128906244
PO4,25,73,-186.76385663562198,1889.1806989676452,0.01652400499405557,0.00031436499557457864,0.00034954657030282434
PO4,25,91,-191.14097306234328,978.2764741723199,0.0052763241197924405,0.00034605362452566624,0.0003817779936949807
PO4,25,119,-314.9801878688851,3230.7664230159403,0.005958706367407169,0.00035668438067659736,0.0004128518385190636
PO4,27,55,615.3399016144555,-10828.890320402053,0.006948734218312494,0.0004401864716783166,0.0004035625684554544
PO4,30,14,-121.10033292273025,1741.6796625858756,0.010146441003808224,0.00035039670183323324,0.0003761978352864583
PO4,30,25,11.53120541968637,-289.58963998501804,0.015624992221141405,0.0003539259487297386,0.00035131582014072963
PO4,34,109,-528.9749106424731,5454.760852821148,0.003976519644408868,0.00035873017623089254,0.00040860665529411346
PO4,38,77,-80.4505951469059,485.38907963986054,0.07721526399862236,0.0003288451407570392,0.00034725264936587806
PO4,38,121,-221.89041457965897,445.7433154437346,0.0032394450102409176,0.00032095907954499125,0.0003657535854921646
PO4,39,46,-26.756744776789922,-539.311274325099,0.025728082955860255,0.0003191180294379592,0.0003126033668146856
PO4,39,67,-312.4951147316517,1981.9990694277026,0.001273036885180513,0.0003037040587514639,0.00036533403737040645
PO4,39,89,585.7240777066744,-2590.1139871591636,0.00031365871154255396,0.0004359783779364079,0.0003700523545891922
PO4,40,22,-223.74214998729227,241.27830991626493,0.0004118386773201517,0.000358377059455961,0.00039223416137695313
PO4,41,56,-188.8804203962796,2003.5386465649228,3.563797560921793e-05,0.00029471691232174635,0.00033595784695910334
PO4,44,101,-562.1653134049031,5620.166827045313,0.012015160721316491,0.0002564363821875304,0.0003478350864507051
PO4,44,111,6.400305985598889,1586.6557835453443,1.2000007401971318,0.00029531086329370737,0.00033856074031347595
PO4,48,121,-267.7869028807617,766.6900748074933,0.050936074130749416,0.00029952972545288503,0.0003665215922494349
PO4,50,80,-452.2595365469677,-323.3449561760348,0.013676090104716215,0.0002994597889482975,0.00038099718108704233
PO4,51,66,-802.8498289346461,-723.7949340219891,0.03884188840336167,0.000280992710031569,0.00041820622777147845
PO4,54,108,-8582.067132745664,-7117.479117489068,0.027438481123091434,0.00018131578690372407,0.00033237413024902345
PO4,55,3,-620.3199985600993,-781.0247311198838,0.00039091671007219066,0.00025473031564615667,0.00037656227001171475
PO4,40,97,-199948.24706133787,-277907.58446428,0.08041208456486384,0.0005122249713167548,0.00037598521781298175
DOP,4,109,-113.9623385122569,-9107.095590540366,6.856627124492562e-07,0.0002532072248868644,0.00040177796936035156
DOP,6,63,-52.55138456328622,-4492.985955450498,0.032261913793642204,0.00030618486925959587,0.00036472048164480376
DOP,6,74,-29.430823836909806,-3112.046891981007,3.379938819824409e-06,0.00029673485551029444,0.0003311780194102093
DOP,6,87,-20.815183430375264,-2219.0761289637508,0.03447353378074358,0.0002975716779474169,0.0003204178187502488
DOP,6,97,11.206810374372413,-313.52538078983537,0.03227683373996756,0.00030031727510504425,0.0002883125338164899
DOP,7,10,80.66427398575281,6146.489849388439,2.2997472523674965e-07,0.00030381596297957003,0.00024051820383788012
DOP,9,120,-47.69901123880284,-3667.3562053919163,0.06666467146637393,0.0002833450853358954,0.0003378032382808605
DOP,10,25,-15.372354036782781,1211.7230978589653,1.8763654201458745e-05,0.00032398971961811185,0.0003356227809323486
DOP,10,35,-13.660021649609764,1879.078665275499,5.0653906756151644e-06,0.000332867493852973,0.0003443587313501019
DOP,13,53,-47.20500639843577,-1635.9964360347374,0.04000280501983226,0.0002993889502249658,0.00036413286572456536
DOP,17,12,-55.74911222673816,-2324.2895932178635,1.1722574679513715e-06,0.0002628921065479517,0.0003497863656857397
DOP,17,63,-98.93665559761935,-3138.6167677076796,0.0909101845364907,0.0002939020923804492,0.0003664801290993898
DOP,19,1,-68.33892707606608,-2496.104572682325,0.33333296157166015,0.0003032826352864504,0.0003554803670247396
DOP,19,101,-244.0814309699224,-11016.959510769451,2.304358595831303e-07,0.0002934215881396085,0.00048292603363204306
DOP,20,23,-49.998428873670576,-1901.78076202619,1.8382506289147116e-06,0.0003550185065250844,0.0003787671202601883
DOP,24,37,-50.39955224061602,-1995.943031533677,0.20000103762254198,0.0003161148342769593,0.00034977307128906244
