date,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,timestamp
2023-01-01,123.73706896551724,0.8161016949152542,1.1851694915254236,,,,,2876.445416666667,-17.86943231441048,-1.9,,,,2023-01-01 11:56:59.999999744
2023-01-02,99.94017094017094,6.438655462184874,8.402521008403362,,,,,2795.1129166666665,-15.764830508474576,-1.9131578947368422,,,,2023-01-02 11:56:59.999999744
2023-01-03,96.54273504273505,4.9825,6.2275,,,,,2843.173221757322,-13.969166666666666,-2.0,,,,2023-01-03 11:56:59.999999744
2023-01-04,73.35344827586206,8.406896551724138,9.49741379310345,,,,,2578.7145833333334,-12.58813559322034,-1.9265306122448977,,,,2023-01-04 11:56:59.999999744
2023-01-05,73.67083333333333,14.4825,16.70125,,,,,2767.1524999999997,-13.606751054852321,-1.9,,,,2023-01-05 11:56:59.999999744
2023-01-06,71.65,17.631666666666668,19.879166666666666,,,,,2805.7441666666664,-18.234583333333333,-1.923936170212766,,,,2023-01-06 11:56:59.999999744
2023-01-07,70.03813559322033,13.571186440677966,15.110593220338982,,,,,2807.5116666666668,-19.366244725738397,-1.8999999999999997,,,,2023-01-07 11:56:59.999999744
2023-01-08,63.246808510638296,8.738297872340425,9.627234042553193,,,,,2921.65625,-16.892083333333332,-1.9,,,,2023-01-08 11:56:59.999999744
2023-01-09,213.0632911392405,3.006751054852321,3.5966244725738394,,,,,2812.7029166666666,-17.741249999999997,-1.8999999999999997,,,,2023-01-09 11:56:59.999999744
2023-01-10,45.33613445378151,6.668487394957983,7.457563025210084,,,,,2890.89625,-23.21875,-1.9036458333333333,,,,2023-01-10 11:56:59.999999744
2023-01-11,71.175,18.282500000000002,20.748749999999998,,,,,2813.5950000000003,-23.295833333333334,-2.0,,,,2023-01-11 11:56:59.999999744
2023-01-12,74.2125,19.039166666666667,22.09916666666667,,,,,2812.7479166666667,-19.198333333333334,-2.0,,,,2023-01-12 11:56:59.999999744
2023-01-13,68.82008368200837,18.209205020920503,20.81757322175732,,,,,2807.899166666667,-16.107112970711295,-2.0,,,,2023-01-13 11:56:59.999999744
2023-01-14,52.59583333333333,11.175,12.433333333333334,,,,,2809.8158333333336,-20.310504201680672,-1.9208333333333334,,,,2023-01-14 11:56:59.999999744
2023-01-15,48.11864406779661,11.691949152542374,12.921610169491526,,,,,2891.9255230125523,-22.494560669456067,-1.9089005235602092,,,,2023-01-15 11:58:17.573221632
2023-01-16,36.329166666666666,10.729583333333332,11.790833333333333,,,,,2771.3283333333334,-24.16208333333333,-1.972020725388601,,,,2023-01-16 11:56:59.999999744
2023-01-17,60.0625,11.865833333333335,13.225416666666666,,,,,2803.7233333333334,-19.74958333333333,-1.9284210526315788,,,,2023-01-17 11:56:59.999999744
2023-01-18,66.18828451882845,4.825833333333334,5.5275,,,,,2799.6731914893617,-17.834453781512607,-1.9145077720207253,,,,2023-01-18 11:56:59.999999744
2023-01-19,50.0548523206751,7.254852320675106,7.939240506329114,,,,,2982.937288135593,-18.697890295358647,-1.9317708333333332,,,,2023-01-19 11:56:59.999999744
2023-01-20,73.38235294117646,4.92125,5.67125,,,,,2803.780416666667,-20.803749999999997,-1.8973958333333334,,,,2023-01-20 11:56:59.999999744
2023-01-21,153.37130801687763,2.278902953586498,2.7641350210970463,,,,,2884.01,-21.554430379746833,-1.9046874999999999,,,,2023-01-21 11:56:59.999999744
2023-01-22,263.54583333333335,6.365833333333333,8.535,,,,,2818.326666666667,-20.835416666666667,-1.9333333333333333,,,,2023-01-22 11:56:59.999999744
2023-01-23,164.69620253164558,4.657383966244725,5.736286919831223,,,,,2818.0179166666667,-24.533191489361702,-2.0,,,,2023-01-23 11:56:59.999999744
2023-01-24,48.75416666666667,9.86875,10.93625,,,,,2893.3316666666665,-22.194166666666668,-2.0,,,,2023-01-24 11:56:59.999999744
2023-01-25,46.075,9.66375,10.444583333333332,,,,,2896.2079166666667,-27.602631578947367,-2.0,,,,2023-01-25 11:56:59.999999744
2023-01-26,63.7625,12.714166666666667,14.287083333333333,,,,,2970.3333333333335,-28.54033613445378,-2.0,,,,2023-01-26 11:56:59.999999744
2023-01-27,92.63291139240506,7.465416666666667,8.470833333333333,,,,,2870.7991666666667,-27.87649572649573,-2.0,,,,2023-01-27 11:56:59.999999744
2023-01-28,94.96137339055794,7.145147679324895,8.278059071729958,,,,,2828.6287500000003,-25.46875,-2.0,,,,2023-01-28 11:56:59.999999744
2023-01-29,181.82083333333333,5.264583333333333,5.98375,,,,,2899.0950000000003,-18.192016806722688,-2.0,,,,2023-01-29 11:56:59.999999744
2023-01-30,82.10833333333333,10.58125,12.328750000000001,,,,,2823.3,-23.324050632911394,-2.0,,,,2023-01-30 11:56:59.999999744
2023-01-31,76.3125,15.999166666666667,18.214583333333334,,,,,2969.233333333333,-23.42700421940928,-2.0,,,,2023-01-31 11:56:59.999999744
2023-02-01,76.85714285714286,14.865126050420168,17.125210084033615,,,,,2817.8008333333332,-22.893277310924372,-2.0,,,,2023-02-01 11:56:59.999999744
2023-02-02,54.979166666666664,10.251666666666667,11.287083333333333,,,,,2813.4049999999997,-26.30666666666667,-2.0,,,,2023-02-02 11:56:59.999999744
2023-02-03,82.05150214592274,5.410504201680673,5.93655462184874,,,,,2886.4683333333332,-32.494468085106384,-2.0,,,,2023-02-03 11:56:59.999999744
2023-02-04,82.80672268907563,4.0134453781512605,4.434033613445378,,,,,2885.34125,-30.220416666666665,-2.0,,,,2023-02-04 11:56:59.999999744
