tracer,j,i,dJ_darwin,dJ_bling,asym_rel,model0,obs_pco2
ALK,44,101,519.2437270644701,765.60356217185,0.29748879281411666,0.0002564363821875304,0.0003478350864507051
ALK,44,111,136.76986686478207,175.29629209453367,0.9285939996802962,0.00029531086329370737,0.00033856074031347595
ALK,48,121,238.19498150979885,336.256788474786,0.5789245906993433,0.00029952972545288503,0.0003665215922494349
ALK,50,80,407.05484466642235,477.40538221806605,0.6572961538412352,0.0002994597889482975,0.00038099718108704233
ALK,51,66,737.473135215856,870.9206250332958,0.25984717555132775,0.000280992710031569,0.00041820622777147845
ALK,54,108,8344.924389188853,8340.862454945232,0.013298688083840556,0.00018131578690372407,0.00033237413024902345
ALK,55,3,612.2403307328927,788.5716883719563,0.3007197368796176,0.00025473031564615667,0.00037656227001171475
ALK,40,97,-18623.448828909597,-21520.668691504954,0.7253464733555364,0.0005122249713167548,0.00037598521781298175
O2,4,109,-0.0,-0.005841485353020936,nan,0.0002532072248868644,0.00040177796936035156
O2,6,63,-0.0,-0.0038165562310522485,nan,0.00030618486925959587,0.00036472048164480376
O2,6,74,-0.0,-0.0011471444052612693,nan,0.00029673485551029444,0.0003311780194102093
O2,6,87,-0.0,-0.0010183426966856978,nan,0.0002975716779474169,0.0003204178187502488
O2,6,97,0.0,1.613035656889899e-05,nan,0.00030031727510504425,0.0002883125338164899
O2,7,10,0.0,0.002422658789683944,nan,0.00030381596297957003,0.00024051820383788012
O2,9,120,-0.0,-0.002303412730162996,nan,0.0002833450853358954,0.0003378032382808605
O2,10,25,-0.0,0.0012229784467864733,nan,0.00032398971961811185,0.0003356227809323486
O2,10,35,-0.0,0.0017649433797067727,nan,0.000332867493852973,0.0003443587313501019
O2,13,53,-0.0,-0.0007803978531336745,nan,0.0002993889502249658,0.00036413286572456536
O2,17,12,-0.0,-0.0016886412225895645,nan,0.0002628921065479517,0.0003497863656857397
O2,17,63,-0.0,-0.003464575281142142,nan,0.0002939020923804492,0.0003664801290993898
O2,19,1,-0.0,-0.0024888179860547087,nan,0.0003032826352864504,0.0003554803670247396
O2,19,101,-0.0,-0.00922077485520711,nan,0.0002934215881396085,0.00048292603363204306
O2,20,23,-0.0,-0.00028322784109349096,nan,0.0003550185065250844,0.0003787671202601883
O2,24,37,-0.0,-0.00020606526208207285,nan,0.0003161148342769593,0.00034977307128906244
O2,25,73,-0.0,-0.0004631428333770779,nan,0.00031436499557457864,0.00034954657030282434
O2,25,91,-0.0,-0.0009548040465304564,nan,0.00034605362452566624,0.0003817779936949807
O2,25,119,-0.0,-0.0008522600981118054,nan,0.00035668438067659736,0.0004128518385190636
O2,27,55,0.0,0.005986915088615713,nan,0.0004401864716783166,0.0004035625684554544
O2,30,14,-0.0,-0.0008985237544744861,nan,0.00035039670183323324,0.0003761978352864583
O2,30,25,0.0,7.046395068350164e-05,nan,0.0003539259487297386,0.00035131582014072963
O2,34,109,-0.0,-0.002717149806735642,nan,0.00035873017623089254,0.00040860665529411346
O2,38,77,-0.0,-8.156856446155874e-05,nan,0.0003288451407570392,0.00034725264936587806
O2,38,121,-0.0,-0.001924111806048566,nan,0.00032095907954499125,0.0003657535854921646
O2,39,46,0.0,4.893294323217756e-05,nan,0.0003191180294379592,0.0003126033668146856
O2,39,67,-0.0,-0.0004793658217834161,nan,0.0003037040587514639,0.00036533403737040645
O2,39,89,0.0,0.0058389207548312115,nan,0.0004359783779364079,0.0003700523545891922
O2,40,22,-0.0,-0.001357218805348001,nan,0.000358377059455961,0.00039223416137695313
O2,41,56,-0.0,-0.0007530005440435376,nan,0.00029471691232174635,0.00033595784695910334
O2,44,101,-0.0,-0.0032185114152122243,nan,0.0002564363821875304,0.0003478350864507051
O2,44,111,-0.0,-0.0005042859621675693,nan,0.00029531086329370737,0.00033856074031347595
